iter	Logloss
0	0.6700485713
1	0.6451846162
2	0.6242494885
3	0.6038993732
4	0.587401101
5	0.5696805376
6	0.5544710461
7	0.5385047947
8	0.5231824504
9	0.5083672709
10	0.4929792309
11	0.4804459654
12	0.465968378
13	0.4526128639
14	0.4414652829
15	0.4320217495
16	0.4228184212
17	0.4130728191
18	0.4042546544
19	0.3967232683
20	0.3873745327
21	0.3816776189
22	0.373231603
23	0.3664465166
24	0.3592734358
25	0.3521095034
26	0.345053073
27	0.340018294
28	0.3333198582
29	0.3266407548
30	0.3202211889
31	0.3142204457
32	0.3086859932
33	0.3023641595
34	0.2967140232
35	0.2910685129
36	0.2847845328
37	0.2799435093
38	0.2761782478
39	0.2717595683
40	0.2666119882
41	0.2618562862
42	0.2573211118
43	0.2537423734
44	0.2494283995
45	0.2442915731
46	0.2394399341
47	0.2372476569
48	0.2339090201
49	0.2302651384
50	0.2269289008
51	0.224241507
52	0.2216626336
53	0.2190428514
54	0.2166561627
55	0.2140326176
56	0.211005267
57	0.2081054411
58	0.2048144448
59	0.2019770005
60	0.199198054
61	0.1966451239
62	0.1935687518
63	0.1910653783
64	0.1889189983
65	0.1864428973
66	0.1845558477
67	0.1824174424
68	0.180306344
69	0.1788623516
70	0.1773015708
71	0.1748665512
72	0.1730967906
73	0.1714646698
74	0.1690507777
75	0.1673968734
76	0.1655582411
77	0.163359163
78	0.1618421045
79	0.1598205394
80	0.1586455954
81	0.1567464285
82	0.1552438002
83	0.1535257538
84	0.1507786194
85	0.1487977386
86	0.1472853579
87	0.1457123217
88	0.1437740585
89	0.1419273135
90	0.1403410381
91	0.1387776681
92	0.1373980078
93	0.1355784317
94	0.1342126665
95	0.1328681497
96	0.1319256088
97	0.1300900662
98	0.1289101251
99	0.1277280523
