iter	Passed	Remaining
0	12	1212
1	22	1102
2	33	1073
3	43	1047
4	54	1028
5	64	1007
6	74	989
7	85	980
8	96	975
9	107	964
10	117	954
11	128	941
12	138	928
13	150	924
14	161	913
15	171	901
16	182	888
17	192	877
18	202	864
19	213	853
20	223	841
21	234	830
22	245	821
23	255	810
24	266	799
25	276	787
26	287	778
27	299	769
28	309	758
29	320	747
30	331	737
31	341	725
32	352	715
33	363	705
34	373	693
35	383	682
36	393	670
37	404	659
38	415	649
39	425	638
40	437	629
41	448	619
42	459	608
43	469	597
44	479	586
45	490	575
46	500	564
47	511	554
48	521	542
49	532	532
50	542	521
51	552	510
52	563	499
53	566	482
54	578	472
55	588	462
56	599	452
57	609	441
58	619	430
59	630	420
60	640	409
61	650	398
62	661	388
63	671	377
64	681	367
65	692	356
66	702	346
67	713	335
68	725	325
69	735	315
70	746	304
71	756	294
72	766	283
73	776	272
74	787	262
75	797	251
76	808	241
77	818	230
78	829	220
79	840	210
80	850	199
81	862	189
82	873	178
83	883	168
84	893	157
85	903	147
86	914	136
87	924	126
88	935	115
89	945	105
90	956	94
91	966	84
92	977	73
93	988	63
94	999	52
95	1011	42
96	1022	31
97	1033	21
98	1044	10
99	1054	0
